Model,Year,Price,Additions,Previous Owners,Offered,Payment Method,Number of Passengers,Car Mileage,Engine Power,Glass,Transmission Type,Car License,Car Origin,Fuel Type,Car Color,Third Party,Comprehensive (Vehicle Body),Total Insurance
كيا اوبتيما,2014,100000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,75000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,1340,1751,3090
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
كيا سورينتو,2007,60000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع أو التبديل,إمكانية التقسيط,7+1,130000,2500,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,ديزل,سكني,1690,1050,2740
هونداي افانتي,2006,43500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,سكني,1340,1000,2340
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فيات 127,1982,5500,"مُكيّف, مسجل CD",00,للبيع فقط,إمكانية التقسيط,4+1,شغال,906,يدوي,عادي,فلسطينية,خصوصي,بنزين,بيج,467,500,967
بيجو 208,2014,54000,"مُكيّف, إغلاق مركزي, جهاز إنذار, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,38000,1200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,1000,2035
بي ام دبليو x3,2015,205000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع فقط,نقدا فقط,5+1,,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود,1340,3588,4928
اوبل كورسا,2015,65000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,إمكانية التقسيط,٤+١,١٢٣٤٥٦,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,بترولي,1035,1138,2173
مرسيدس C200,2014,230000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع فقط,إمكانية التقسيط,4+1,50000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,4026,5365
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فورد فيستا,2014,59000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود ميتالك,1340,1033,2373
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
نيسان باترول,2003,84000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع فقط,إمكانية التقسيط,8,56000,4500,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,1690,1471,3160
فورد ترانزيت,2005,75000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",يد اولى,للبيع أو التبديل,إمكانية التقسيط,7+1,460000,2500,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أبيض عاجي,1690,1313,3003
بيجو 206+,2012,39000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد ثانية,للبيع فقط,نقدا فقط,4+1,,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,فضي,1035,1000,2035
سكودا فابيا,2016,73000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",0,للبيع فقط,نقدا فقط,4+1,45000,1200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1035,1278,2313
فيات 1998,1998,30000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",4,للبيع أو التبديل,إمكانية التقسيط,4+1,70000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,ذهبي,670,500,1170
